문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
291,1.0,0.9832,"[(1, 0.98324245)]"
292,1.0,0.963,"[(1, 0.9629616)]"
293,1.0,0.8831,"[(0, 0.029391145), (1, 0.88313663), (2, 0.028802058), (3, 0.029370088), (4, 0.029300084)]"
294,1.0,0.986,"[(1, 0.9859803)]"
295,1.0,0.9838,"[(1, 0.9837613)]"
296,1.0,0.65,"[(1, 0.65004927), (3, 0.3346042)]"
297,1.0,0.9761,"[(1, 0.9761292)]"
298,1.0,0.9879,"[(1, 0.9878714)]"
299,1.0,0.9826,"[(1, 0.9825716)]"
300,1.0,0.9551,"[(0, 0.011186302), (1, 0.95507824), (2, 0.011206142), (3, 0.0113072), (4, 0.011222075)]"
301,1.0,0.9662,"[(1, 0.96618843)]"
302,1.0,0.9941,"[(1, 0.9941298)]"
303,1.0,0.965,"[(1, 0.9650095)]"
304,1.0,0.902,"[(1, 0.90197396), (4, 0.07157607)]"
305,1.0,0.982,"[(1, 0.9820017)]"
306,1.0,0.9937,"[(1, 0.99369895)]"
307,1.0,0.9828,"[(1, 0.9827592)]"
308,1.0,0.9755,"[(1, 0.9754854)]"
309,1.0,0.8562,"[(0, 0.1285784), (1, 0.85615844)]"
310,1.0,0.9717,"[(1, 0.97172296)]"
311,1.0,0.9828,"[(1, 0.9827791)]"
312,1.0,0.9675,"[(1, 0.9674841)]"
313,1.0,0.9894,"[(1, 0.98941547)]"
314,1.0,0.9932,"[(1, 0.9931677)]"
315,1.0,0.9806,"[(1, 0.9806064)]"
316,1.0,0.9935,"[(1, 0.9934655)]"
317,1.0,0.9859,"[(1, 0.9859234)]"
318,1.0,0.982,"[(1, 0.9820091)]"
319,1.0,0.946,"[(0, 0.013516956), (1, 0.94601035), (2, 0.013459352), (3, 0.013552617), (4, 0.013460722)]"
320,1.0,0.7695,"[(1, 0.7695457), (3, 0.22112696)]"
321,1.0,0.9913,"[(1, 0.991275)]"
322,1.0,0.9807,"[(1, 0.9807235)]"
323,1.0,0.9873,"[(1, 0.9872657)]"
324,1.0,0.9855,"[(1, 0.98550975)]"
325,1.0,0.9875,"[(1, 0.9875485)]"
326,1.0,0.9892,"[(1, 0.9892043)]"
327,1.0,0.9574,"[(0, 0.010598233), (1, 0.957439), (2, 0.010603992), (3, 0.0105945505), (4, 0.010764222)]"
328,1.0,0.9663,"[(1, 0.9662506)]"
329,1.0,0.9871,"[(1, 0.9870656)]"
330,1.0,0.9907,"[(1, 0.9907093)]"
331,1.0,0.9613,"[(1, 0.9612649)]"
332,1.0,0.7002,"[(1, 0.70021176), (3, 0.28223175)]"
333,1.0,0.97,"[(1, 0.9700158)]"
334,1.0,0.9613,"[(1, 0.96134466)]"
335,1.0,0.955,"[(0, 0.011206933), (1, 0.95495033), (2, 0.011279272), (3, 0.0112812165), (4, 0.01128223)]"
336,1.0,0.619,"[(1, 0.6189879), (3, 0.37718758)]"
337,1.0,0.9188,"[(0, 0.020751916), (1, 0.91875166), (2, 0.020223608), (3, 0.020090839), (4, 0.020181965)]"
338,1.0,0.992,"[(1, 0.99196434)]"
339,1.0,0.9882,"[(1, 0.9882241)]"
340,1.0,0.9961,"[(1, 0.9961039)]"
341,1.0,0.9616,"[(1, 0.96160764)]"
342,1.0,0.9808,"[(1, 0.9808354)]"
343,1.0,0.9872,"[(1, 0.9871615)]"
344,1.0,0.9787,"[(1, 0.9786639)]"
345,1.0,0.9737,"[(1, 0.97368497)]"
346,1.0,0.9812,"[(1, 0.9811732)]"
347,1.0,0.9911,"[(1, 0.9910886)]"
348,1.0,0.9979,"[(1, 0.9978503)]"
349,1.0,0.9914,"[(1, 0.9913815)]"
350,1.0,0.9854,"[(1, 0.9853802)]"
351,1.0,0.9886,"[(1, 0.9886071)]"
352,1.0,0.9919,"[(1, 0.9919432)]"
353,1.0,0.6601,"[(1, 0.6601136), (3, 0.32344204)]"
354,1.0,0.9957,"[(1, 0.99572676)]"
355,1.0,0.9939,"[(1, 0.9938835)]"
356,1.0,0.9908,"[(1, 0.99078566)]"
357,1.0,0.9572,"[(0, 0.010634701), (1, 0.9571922), (2, 0.010775057), (3, 0.0106495675), (4, 0.010748453)]"
358,1.0,0.9943,"[(1, 0.99425155)]"
359,1.0,0.9851,"[(1, 0.98512167)]"
360,1.0,0.9775,"[(1, 0.977469)]"
361,1.0,0.9835,"[(1, 0.9835084)]"
362,1.0,0.9187,"[(0, 0.02018061), (1, 0.91872627), (2, 0.020221515), (3, 0.020720406), (4, 0.02015118)]"
363,1.0,0.9925,"[(1, 0.99248123)]"
364,1.0,0.9932,"[(1, 0.99321747)]"
365,1.0,0.9822,"[(1, 0.9822443)]"
366,1.0,0.9792,"[(1, 0.97919065)]"
367,1.0,0.9823,"[(1, 0.98230934)]"
368,1.0,0.9719,"[(1, 0.97187126)]"
369,1.0,0.983,"[(1, 0.9830385)]"
370,1.0,0.8184,"[(0, 0.018529998), (1, 0.81844944), (2, 0.018226484), (3, 0.12647381), (4, 0.018320221)]"
371,1.0,0.9738,"[(1, 0.9738417)]"
372,1.0,0.9956,"[(1, 0.99559)]"
373,1.0,0.9837,"[(1, 0.98373514)]"
374,1.0,0.9915,"[(1, 0.9914614)]"
375,1.0,0.9831,"[(1, 0.9831192)]"
376,1.0,0.9927,"[(1, 0.99270386)]"
377,1.0,0.9873,"[(1, 0.9872729)]"
378,1.0,0.973,"[(1, 0.97300506)]"
379,1.0,0.9425,"[(1, 0.94247276), (3, 0.048441745)]"
380,1.0,0.9786,"[(1, 0.97862583)]"
381,1.0,0.9875,"[(1, 0.9874703)]"
382,1.0,0.9776,"[(1, 0.97755027)]"
383,1.0,0.9877,"[(1, 0.9877131)]"
384,1.0,0.9838,"[(1, 0.98381567)]"
385,1.0,0.9802,"[(1, 0.98020464), (4, 0.0130901225)]"
386,1.0,0.9785,"[(1, 0.9784852)]"
387,1.0,0.965,"[(1, 0.96496606)]"
388,1.0,0.9784,"[(1, 0.9783808)]"
